+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+-------------------+------------------+--------------------------+--------------------+----------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Elapsed - wo DAMO | Elapsed - w DAMO | Elapsed - w DAMO Default |     Overhead %     | Overhead-w-default % |
| 100mb_s100000_a1000000_u1000000_n1024_m1024  |  100mb   |      100000     |      1000000       |     1000000     |     1024    |     1024    |    5.177091457    |   10.163632727   |       9.732107306        | 96.31935830026035  |   87.9840714971553   |
| 100mb_s100000_a1000000_u1000000_n1024_m2048  |  100mb   |      100000     |      1000000       |     1000000     |     1024    |     2048    |    5.176293436    |   11.167719635   |       9.707556211        | 115.74742183916638 |  87.53875395637444   |
| 100mb_s100000_a1000000_u1000000_n2048_m2048  |  100mb   |      100000     |      1000000       |     1000000     |     2048    |     2048    |     5.18292755    |   10.816379714   |       9.722857921        | 108.6924736966466  |  87.59393850681937   |
| 100mb_s100000_a1000000_u2000000_n1024_m1024  |  100mb   |      100000     |      1000000       |     2000000     |     1024    |     1024    |    5.180338272    |   11.179444058   |       9.704294875        | 115.80529052369958 |  87.32936664488152   |
| 100mb_s100000_a1000000_u2000000_n1024_m2048  |  100mb   |      100000     |      1000000       |     2000000     |     1024    |     2048    |    5.179601956    |   10.156018017   |       9.667657317        | 96.07719093617547  |  86.64865368276186   |
| 100mb_s100000_a1000000_u2000000_n2048_m2048  |  100mb   |      100000     |      1000000       |     2000000     |     2048    |     2048    |    5.175234384    |   10.82467393    |       9.689806149        | 109.16296976743844 |  87.23415076537333   |
| 100mb_s100000_a1000000_u4000000_n1024_m1024  |  100mb   |      100000     |      1000000       |     4000000     |     1024    |     1024    |    5.179876013    |   10.144832539   |       9.705435973        | 95.85087584218975  |  87.36811361202749   |
| 100mb_s100000_a1000000_u4000000_n1024_m2048  |  100mb   |      100000     |      1000000       |     4000000     |     1024    |     2048    |    5.179481314    |   10.135854269   |       9.672760655        | 95.69245749768524  |  86.75153106267194   |
| 100mb_s100000_a1000000_u4000000_n2048_m2048  |  100mb   |      100000     |      1000000       |     4000000     |     2048    |     2048    |    5.179133683    |   11.839787964   |       9.700140261        | 128.60556781654327 |   87.2927183331792   |
| 100mb_s100000_a1000000_u8000000_n1024_m1024  |  100mb   |      100000     |      1000000       |     8000000     |     1024    |     1024    |    5.176913864    |   10.170864584   |       9.698183837        |   96.46578736277   |  87.33523662506121   |
| 100mb_s100000_a1000000_u8000000_n1024_m2048  |  100mb   |      100000     |      1000000       |     8000000     |     1024    |     2048    |    5.180783065    |   11.180669486   |        9.71481171        | 115.81041602636569 |  87.51628061075742   |
| 100mb_s100000_a1000000_u8000000_n2048_m2048  |  100mb   |      100000     |      1000000       |     8000000     |     2048    |     2048    |    5.179339672    |   10.813118626   |       9.716639873        | 108.77407760021495 |  87.60383539872994   |
