+----------------------------------------------+----------+-----------------+--------------------+-----------------+-------------+-------------+------------------------+-----------------------+--------------------+
|                   Filename                   | CFG File | Sample Interval | Aggregate Interval | Update Interval | Min Regions | Max Regions | Time Elapsed - wo DAMO | Time Elapsed - w DAMO |     Overhead %     |
|   100mb_s100000_a100000_u1000000_n16_m2048   |  100mb   |      100000     |       100000       |     1000000     |      16     |     2048    |       5.17799311       |      9.593578399      |  85.2759977697228  |
|   100mb_s100000_a100000_u1000000_n16_m512    |  100mb   |      100000     |       100000       |     1000000     |      16     |     512     |      5.177332837       |      10.547291399     | 103.72055904197224 |
|    100mb_s100000_a100000_u1000000_n16_m64    |  100mb   |      100000     |       100000       |     1000000     |      16     |      64     |      5.175142457       |      10.570659022     | 104.25831964687112 |
|  100mb_s100000_a100000_u1000000_n2048_m2048  |  100mb   |      100000     |       100000       |     1000000     |     2048    |     2048    |      5.178523049       |      21.778878448     | 320.5615817854787  |
|  100mb_s100000_a100000_u1000000_n512_m1024   |  100mb   |      100000     |       100000       |     1000000     |     512     |     1024    |      5.175815286       |      12.188417546     | 135.48787722329087 |
|  100mb_s100000_a100000_u1000000_n512_m2048   |  100mb   |      100000     |       100000       |     1000000     |     512     |     2048    |      5.176691094       |      13.235733065     | 155.67940649077485 |
|   100mb_s100000_a100000_u1000000_n512_m512   |  100mb   |      100000     |       100000       |     1000000     |     512     |     512     |      5.177547387       |      12.140109096     | 134.4760595814514  |
|   100mb_s100000_a100000_u1000000_n64_m1024   |  100mb   |      100000     |       100000       |     1000000     |      64     |     1024    |      5.175808905       |       9.84799032      | 90.26958878807368  |
|   100mb_s100000_a100000_u1000000_n64_m2048   |  100mb   |      100000     |       100000       |     1000000     |      64     |     2048    |      5.176042334       |      10.841674626     | 109.45877035788556 |
|   100mb_s100000_a100000_u1000000_n64_m512    |  100mb   |      100000     |       100000       |     1000000     |      64     |     512     |      5.177684844       |      10.818978826     | 108.95398526500198 |
|    100mb_s100000_a100000_u1000000_n64_m64    |  100mb   |      100000     |       100000       |     1000000     |      64     |      64     |      5.179461571       |      9.776600743      | 88.75708621412609  |
|  100mb_s100000_a100000_u100000_n1024_m1024   |  100mb   |      100000     |       100000       |      100000     |     1024    |     1024    |      5.176270273       |      14.921972277     |  188.276529045144  |
|  100mb_s100000_a100000_u100000_n1024_m2048   |  100mb   |      100000     |       100000       |      100000     |     1024    |     2048    |       5.17597644       |      15.904930227     | 207.28366736924323 |
|   100mb_s100000_a100000_u100000_n16_m1024    |  100mb   |      100000     |       100000       |      100000     |      16     |     1024    |      5.176251649       |      9.535467355      | 84.21568350221452  |
|    100mb_s100000_a100000_u100000_n16_m16     |  100mb   |      100000     |       100000       |      100000     |      16     |      16     |      5.178304751       |      10.565267258     | 104.02946072186474 |
|   100mb_s100000_a100000_u100000_n16_m2048    |  100mb   |      100000     |       100000       |      100000     |      16     |     2048    |      5.176792548       |      10.571684503     | 104.21302196249415 |
|    100mb_s100000_a100000_u100000_n16_m512    |  100mb   |      100000     |       100000       |      100000     |      16     |     512     |      5.177130383       |       9.56651673      |  84.7841569030849  |
